StationNum,MAE
0,0.039114249984336914
1,0.07028686565322236
2,0.02764073661792618
3,0.048631983222787785
4,0.04520064055595963
5,0.05257581218157893
6,0.05779815028766941
7,0.05462913294890888
8,0.043970143885898046
9,0.04940596782121168
10,0.03625001571137026
11,0.03892712153502034
12,0.0442616848390699
13,0.030349451389555124
14,0.04426313299838117
15,0.0392173268210431
16,0.045749410007059524
17,0.05737769524237413
18,0.030830943346673204
19,0.040950292537004274
20,0.045415269766531145
21,0.02922998999566791
22,0.03439088165986581
23,0.05317914616499447
24,0.0394116316862522
25,0.032953331335512516
26,0.041140403918615086
27,0.04544538166038155
28,0.0593141665557158
29,0.04639743337133775
30,0.04212155648758463
31,0.03400002788314291
32,0.04144468342503637
33,0.03383273861736224
34,0.037561477431213575
35,0.04145794870363819
36,0.05593030307630456
37,0.037197500199206396
38,0.04544395901071684
39,0.045982719495884866
40,0.042057269621819854
41,0.045134893177930346
42,0.03685326567809205
43,0.04593749053572976
44,0.05792381824314041
Average,0.04371528989530507
