StationNum,SMAPE
0,64.49641313474437
1,51.57285232564395
2,39.23340171504462
3,82.06166997017607
4,47.13226359947877
5,43.003850828838054
6,38.68988648970383
7,41.89642395632115
8,59.27770321025893
9,35.99603573232637
10,94.91371309072404
11,52.86520861478503
12,58.88924928535112
13,103.31737010930165
14,44.47167053536399
15,59.75162804128743
16,33.11678262521283
17,31.91902292721099
18,85.34343800757497
19,68.6187050311785
20,70.01058110391479
21,90.11565750357802
22,74.68560105327522
23,56.09961127043085
24,60.80282322715398
25,113.87545705919922
26,48.28270182563589
27,42.51946935807065
28,38.73402726357742
29,45.450985173747114
30,54.824512752583246
31,103.30967568076639
32,70.80398602713922
33,108.66757447734673
34,92.7434997487273
35,63.2628459601973
36,42.917047944476266
37,73.1032771863185
38,60.42238209262051
39,46.86821706933722
40,69.37908791648293
41,69.84535005547599
42,79.00165775528241
43,68.17655619749158
44,54.686593940569985
Average,63.00347708608724
